Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,1993.41772461,2025-05-29,2025-08-15
2,Arsenal,ENG,1,1993.34008789,2025-05-29,2025-08-17
3,Paris SG,FRA,1,1971.96398926,2025-08-07,2025-08-17
4,Man City,ENG,1,1959.9440918,2025-06-01,2025-08-16
5,Barcelona,ESP,1,1945.43054199,2025-06-01,2025-08-16
6,Real Madrid,ESP,1,1936.12744141,2025-06-01,2025-08-19
7,Inter,ITA,1,1933.24279785,2025-06-01,2025-08-25
8,Bayern,GER,1,1918.99780273,2025-05-18,2025-08-22
9,Chelsea,ENG,1,1902.80114746,2025-05-29,2025-08-17
10,Aston Villa,ENG,1,1872.83911133,2025-05-29,2025-08-16
11,Newcastle,ENG,1,1868.5526123,2025-05-29,2025-08-16
12,Atletico,ESP,1,1855.34973145,2025-05-29,2025-08-17
13,Leverkusen,GER,1,1848.78613281,2025-05-18,2025-08-23
14,Atalanta,ITA,1,1842.22387695,2025-06-01,2025-08-24
15,Napoli,ITA,1,1838.37194824,2025-06-01,2025-08-23
16,Crystal Palace,ENG,1,1835.04016113,2025-05-29,2025-08-17
17,Brighton,ENG,1,1827.12902832,2025-05-29,2025-08-16
18,Roma,ITA,1,1819.66003418,2025-06-01,2025-08-23
19,Dortmund,GER,1,1818.35009766,2025-05-26,2025-08-23
20,Brentford,ENG,1,1811.27416992,2025-06-01,2025-08-17
21,Bournemouth,ENG,1,1808.09521484,2025-06-01,2025-08-15
22,Benfica,POR,1,1807.89697266,2025-08-13,2025-08-16
23,PSV,NED,1,1806.23217773,2025-08-10,2025-08-17
24,Juventus,ITA,1,1805.84680176,2025-08-10,2025-08-24
25,Forest,ENG,1,1802.86791992,2025-08-08,2025-08-17
26,Sporting,POR,1,1800.00134277,2025-08-09,2025-08-17
27,Man United,ENG,1,1799.46289062,2025-08-09,2025-08-17
28,Everton,ENG,1,1793.9798584,2025-08-07,2025-08-18
29,Bilbao,ESP,1,1789.30932617,2025-08-01,2025-08-17
30,Milan,ITA,1,1786.90820312,2025-06-01,2025-08-23
31,Villarreal,ESP,1,1785.54638672,2025-05-29,2025-08-15
32,Fulham,ENG,1,1781.72058105,2025-08-07,2025-08-16
33,Lille,FRA,1,1779.07495117,2025-08-07,2025-08-17
34,Tottenham,ENG,1,1774.00671387,2025-06-01,2025-08-16
35,Lazio,ITA,1,1770.40881348,2025-06-01,2025-08-24
36,Monaco,FRA,1,1759.15246582,2025-08-07,2025-08-16
37,Fiorentina,ITA,1,1756.97192383,2025-06-01,2025-08-24
38,Marseille,FRA,1,1753.55432129,2025-08-07,2025-08-15
39,Bologna,ITA,1,1750.82446289,2025-08-01,2025-08-23
40,West Ham,ENG,1,1750.13244629,2025-08-01,2025-08-16
41,Feyenoord,NED,1,1747.53649902,2025-08-13,2025-08-16
42,Frankfurt,GER,1,1745.7578125,2025-08-08,2025-08-23
43,Betis,ESP,1,1742.14367676,2025-08-02,2025-08-18
44,Lyon,FRA,1,1741.65539551,2025-08-07,2025-08-16
45,Brugge,BEL,1,1739.37805176,2025-08-13,2025-08-16
46,Wolves,ENG,1,1735.76245117,2025-08-07,2025-08-16
47,St Gillis,BEL,1,1729.65258789,2025-08-10,2025-08-16
48,Burnley,ENG,1,1729.59765625,2025-08-10,2025-08-16
49,Leeds,ENG,1,1722.36010742,2025-08-04,2025-08-18
50,Stuttgart,GER,1,1719.31469727,2025-08-07,2025-08-23
51,RB Leipzig,GER,1,1716.37451172,2025-08-07,2025-08-22
52,Galatasaray,TUR,1,1711.5213623,2025-08-09,2025-08-15
53,Nice,FRA,1,1709.30102539,2025-08-13,2025-08-16
54,Mainz,GER,1,1706.18273926,2025-08-08,2025-08-24
55,Strasbourg,FRA,1,1704.03417969,2025-08-08,2025-08-17
56,Osasuna,ESP,1,1697.22424316,2025-05-29,2025-08-19
57,Porto,POR,1,1693.83691406,2025-08-12,2025-08-18
58,Lens,FRA,1,1690.24707031,2025-08-12,2025-08-16
59,Slavia Praha,CZE,1,1689.85559082,2025-08-12,2025-08-16
60,Celta,ESP,1,1689.27087402,2025-08-12,2025-08-17
61,Freiburg,GER,1,1684.3404541,2025-08-07,2025-08-23
62,Celtic,SCO,1,1683.61999512,2025-08-11,2025-08-25
63,Valencia,ESP,1,1679.41589355,2025-08-08,2025-08-16
64,Fenerbahce,TUR,1,1677.9987793,2025-08-13,2025-08-16
65,Werder,GER,1,1677.45446777,2025-08-08,2025-08-23
66,Brest,FRA,1,1676.1315918,2025-08-08,2025-08-17
67,Torino,ITA,1,1675.24291992,2025-08-08,2025-08-25
68,Ajax,NED,1,1671.88720703,2025-08-11,2025-08-17
